Ticker,Financial_currentPrice,Financial_totalCash,Financial_totalCashPerShare,Financial_ebitda,Financial_totalDebt,Financial_quickRatio,Financial_currentRatio,Financial_totalRevenue,Financial_debtToEquity,Financial_revenuePerShare,Financial_returnOnAssets,Financial_returnOnEquity,Financial_freeCashflow,Financial_ebitdaMargins,Financial_profitMargins,KeyStats_enterpriseValue,KeyStats_sharesOutstanding,KeyStats_heldPercentInsiders,KeyStats_priceToBook,KeyStats_enterpriseToEbitda,SharePurchase_period,SharePurchase_buyInfoCount,SharePurchase_buyInfoShares,SharePurchase_buyPercentInsiderShares,SharePurchase_sellInfoCount,SharePurchase_sellInfoShares,SharePurchase_sellPercentInsiderShares,SharePurchase_netInfoCount,SharePurchase_netInfoShares,SharePurchase_netPercentInsiderShares,SharePurchase_totalInsiderShares
AEL^A
AEL^B
AEMD,1.7299,7972012,3.042,-11402972,1009943,3.795,3.927,574245,13.269,0.236,-0.47157001,-0.98429,-5872016,0.0,0.0,-2429040,2620400,0.01578,0.5902081,0.213,6m,60,1435729,0.0,1,26852,0.0,61,1408877,-1.03,41349
AENTW,0.0188,2655000,0.052,18222000,118682000,0.822,1.353,1127201024,134.101,22.659,0.01592,-0.07654,73297504,0.01617,-0.0061500003,,,,0.01081703,,6m,0,0,,0,,,0,0,,0
AERT,2.37,6543000,0.419,7140000,14065000,0.386,0.47,67877000,,4.346,0.09506,,46632000,0.10519,-0.21246,54282040,15619000,0.39686,,7.603,6m,0,0,,0,,,0,0,,6198558
AERTW,0.0788,6543000,0.419,7140000,14065000,0.386,0.47,67877000,,4.346,0.09506,,46632000,0.10519,-0.21246,,,,,,6m,0,0,,0,,,0,0,,0
AFB,10.9,102,0.0,,231977984,5.317,5.317,24693432,74.435,0.859,0.023120001,-0.0038299998,3522160,0.0,-0.049390003,545297664,28744900,0.0,1.0053495,,6m,0,0,,0,,,0,0,,0
AFIB,0.1974,38475000,1.313,-66713000,38930000,3.252,4.919,19658000,122.784,0.681,-0.45031,-0.73283994,-48605876,0.0,-1.66802,6239566,29303800,0.036849998,0.18243992,-0.094,6m,0,0,,0,,,0,0,,1079844
AFJK
AFJKR
AGAE,0.92,70385992,1.91,-6211831,7134699,30.084,30.271,6798426,8.546,0.18,-0.05343,-0.04895,-11391808,-0.91372,-0.62533003,-29356042,36842700,0.78008,0.40600178,4.726,6m,0,0,,0,,,0,0,,28740226
AGD,9.44,211645,0.009,,1536822,1.482,1.514,17940112,0.624,0.721,0.05114,0.03736,,0.0,0.38766,236051536,24865100,4.0000003e-05,0.9394904,,6m,0,0,,0,,,0,0,,994
AGFY,0.455,158000,0.093,-74502000,22857000,0.034,0.513,19899000,,16.853,-0.62387,-18.318249,-1414500,0.0,0.0,23706066,10265100,0.45198002,,-0.318,6m,0,0,,0,,,0,0,,768927
AGM^C
AGM^D
AGM^E
AGM^F
AGM^G
AGRX,0.82,2873000,1.144,-22333000,2517000,0.365,0.574,19975000,,12.324,-0.96713996,,-4359000,-1.11805,-0.69717,1703558,2963660,0.011390001,,-0.076,6m,0,0,,0,,,0,0,,28607
AHH^A
AHT^D
AHT^F
AHT^G
AHT^H
AHT^I
AIB,11.56,32404,0.009,,1141554,0.021,0.049,,,,,,,0.0,0.0,42864172,3612020,0.095690005,,,6m,0,0,,0,,,0,0,,345634
AIBBR,0.1664,32404,0.009,,1141554,0.021,0.049,,,,,,,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
AIBBU,11.5,32404,0.009,,1141554,0.021,0.049,,,,,,,0.0,0.0,42647448,,0.0,,,6m,0,0,,0,,,0,0,,0
AIG^A
